CODIGO,NOMBRE,PRECIO,FAMILIA,VENTA,RUT,EXISTENCIA
838,CORBATA DE NINO ROJO SIN ELAST,348,1,505,50033500-9,0.0
839,BOXER VARON,1625,5,2890,93049000-8,7.0
840,PAÑUELOS DAMA CAJA 3,950,5,1690,76451600-1,1.0
841,PRIMERA CAPA ADV CAL LARG S/XL,2997,5,5990,84915900-3,0.0
842,BOXER LEIGA CUADRO ADULT,780,5,1480,3441908-6,9.0
843,MOCHILA SPLACH,2500,5,3700,12154974-3,0.0
844,CUBRECAMA FLORENCIA 2PL C/F,6920,10,10990,79536070-0,0.0
845,JUG SABANA FROZEN 1.5,6999,14,9990,76676820-2,0.0
846,PLUMON FROZEN 1.5,9992,14,16990,76676820-2,0.0
847,JUG SABANA CARS 1.5,6999,14,9990,76676820-2,0.0
848,PIJAMA DAM PAVILO CORTO1675 S/,3600,14,7990,85910900-4,3.0
849,PIJAMA CORTO HOM ALG 3075 S/XL,5500,14,9990,85910900-4,4.0
850,SET ARQUERO NINO 4/14,9990,14,14990,77139990-8,1.0
851,SABANA ESTAM 144 ALG 1.5,7190,14,12990,79536070-0,30.0
852,QUILT ESTAMPADO 1.5PL,4990,14,8990,76676820-2,1.0
853,COBERTOR COLO COLO 1.5PL,8490,14,16990,76676820-2,0.0
854,SET DE BANO EMOBSED 6 PZA,7420,14,12990,79536070-0,0.0
855,CANILLERA MOD NIKE,1450,14,2990,77139990-8,1.0
856,TOBILLERA ELAST GOLD PAR,1400,9,2450,77139990-8,0.0
857,BLADER FUT C/AGUJA,641,9,1300,77139990-8,0.0
858,GUANTE ARQ FELULA ADULT,4500,9,8400,77139990-8,0.0
859,PESO TOBILLO PAR 1KG,2850,9,4990,77139990-8,0.0
860,PESO TOBILLO PAR 1.5KG,4800,9,8400,77139990-8,0.0
861,FALDON BROD CLAS 2 PL,9150,9,15990,79536070-0,0.0
862,FRAZADA 2.5 CAMPO LINDO,8700,9,14990,79536070-0,0.0
863,PIJAMA DAMA POLAR S/XXL,4200,9,8990,85910900-4,0.0
864,CALZON AFRANELADO NIÑO,1225,9,2490,76451600-1,12.0
865,PIZARRA BLCA BASKET,3690,9,6490,77462640-9,1.0
866,PUNTILLA GIM CUERO,3690,9,6490,7044403-8,11.0
867,1058CUBRE CAMA ACOLCAHADO,5296,4,7837,80943400-1,0.0
868,BALON RUGBY 5 PRO TEAM,5160,5,8990,77462640-9,2.0
869,BALON FUT ATENAS,6990,5,11990,77139990-8,0.0
870,BALON LIGA FUTSAL,4990,5,8990,77139990-8,6.0
871,CAMISA M/M 1 COLOR S/XL,2290,3,3990,81756100-4,2.0
872,CAMISOLA RASO PAVILO S/XL,2058,3,3990,76451600-1,2.0
873,PIJAM NINA CORTO PAV SW16 6/16,840,3,1990,76451600-1,23.0
874,CAMISON ALG PAVIL S/XL,1667,3,3990,76451600-1,0.0
875,PIJAM JUV CORTO PAV 14/18,2800,3,4900,76451600-1,2.0
876,CAMISETA TIRANTE S/XL,1350,6,2990,76333900-9,12.0
877,TOILLERA BIONIC NEOVELCRO,2290,3,3990,76064490-0,0.0
878,CANILLERA H.MANCHES XS,981,5,1790,77462640-9,0.0
879,CANILLERA H.MANCHES S,1758,5,2990,77462640-9,5.0
880,CANILLERA H.MANCHES M,1341,5,2490,77462640-9,0.0
881,BALON PROMO 5 FUT,1240,5,2190,77462640-9,7.0
882,CAMIS FUT U.C. S/XL,6400,5,10990,78621160-3,0.0
883,CAMIS FUT U.CH S/XL,6400,5,10990,78621160-3,0.0
884,BABY DOLL ALG LOLA S/XL,2083,9,1990,76451600-1,2.0
885,CAMISON ALG C/B M/M S/XL,3193,9,5990,76451600-1,1.0
886,CAMISOLA S/M ALG S/XL,2083,9,3690,76451600-1,0.0
887,RODILLERA ELASTIC NG/AZ,1701,3,2990,76064490-0,0.0
888,ZAP.BABY CAFU 25/35,6291,6,9990,76064490-0,0.0
889,SHORT FUT DRB LISO S/XL,1782,5,2890,77462640-9,3.0
890,PIE MEDIA COBRE ZA ZA,420,9,790,76451600-1,4.0
891,CAM NINO CUADRI M/L 6/16,2690,14,4490,81756100-4,2.0
892,POLER ARQU MUJER CAFU S/M,4000,14,8990,76064490-0,1.0
893,PANTALON ARQ CAFU DAMA S/M,4290,14,7590,76064490-0,0.0
894,1720 BOLSO VIAJE TAFETAN OSCUR,1480,14,2146,83569800-9,0.0
895,CAMISON ALG C/B M/M S/XL,3360,3,5990,3441908-6,0.0
896,SHORT DAMA LISO,1346,3,2490,77462640-9,34.0
897,PAÑUELO B LCO CUECA BORDADO,210,3,490,76451600-1,10.0
898,BOTELLA PLASTICA 800CC,1000,3,1790,77139990-8,0.0
899,GUANTE T.SPANDEX,850,3,1990,76064490-0,3.0
901,FRAZADAS ESCOCES CHAMONIX 2 PL,6790,4,9845,80943400-1,0.0
902,FRAZADA JACK VELLUTI HOME 2 PL,8190,4,11875,80943400-1,0.0
903,PIJAMA FRANELA LISO H.P/LARG S,2980,15,4321,83569800-9,0.0
904,PIJAMA FRANELA LISO H.P/LARG M,3980,15,5890,83569800-9,0.0
905,424 MAM. H-LISTADO CASUAL M/L,2580,3,3818,83569800-9,0.0
906,381 CAM.H.M.L.DOBBY F/OSC S/XL,2680,15,3966,83569800-9,0.0
907,1862 CAM M/L TWILL ESCOSE S/XL,3680,3,5446,83569800-9,0.0
908,560 CAM NINO M/L LENADOR ESCOS,2980,3,4410,83569800-9,0.0
909,135 CAM H.M.C.DOBBY F/OS S/XL,2480,3,3670,83569800-9,0.0
910,420 CAM.H.M.L.ESPECIAL 17/20,3680,3,5446,83569800-9,0.0
911,710 PIJAMA TREV LIS H.P.L S/XL,3980,3,5890,83569800-9,0.0
912,CAMISA LENADORA ESCOSE H.M.L M,4480,3,6630,83569800-9,0.0
913,CAMISA LENADORA ESCOSE H.M.L L,3680,3,5336,83569800-9,0.0
914,CAMISA LENADORA ESCOS H.M.L XL,3680,3,5336,83569800-9,0.0
915,SOMRERO HUASO PAJA CHICO,1379,3,2040,80019100-9,0.0
916,CINTURON HUASO CUERO 3.5 42/50,6249,3,9660,80019100-9,2.0
918,CHAQUETA HUASO 10/16,18549,3,29990,80019100-9,0.0
919,CHAQUETA HUASO CASIMIR 52-56,22259,3,36990,80019100-9,0.0
920,CHAQUETA HUASO 14*16,16959,3,25900,80019100-9,0.0
921,VESTON CASIMIR COLEG. 44/48,13359,3,19772,80019100-9,0.0
922,PANTALON HUASO 42*50,8799,3,15990,80019100-9,1.0
923,PANTALON HUASO 52/54,9219,3,15990,80019100-9,0.0
924,ZAP HUASO CUERO LISO 38/46,34869,3,54900,80019100-9,4.0
925,CINTURON HUASO CUERO 52/56,6569,3,9990,80019100-9,0.0
926,MOCHILA DISPLAY,3300,5,4884,12154794-5,0.0
927,BANDERA BROCHE C/LUZ,500,10,990,79536070-0,27.0
928,ZAPATO COLEGIO NI╛A,6490,3,9605,81756100-4,0.0
917,PANTALON HUASO 56/58,8369,3,14650,80019100-9,0.0
929,FRAZADA JACQUARD DIBUJO 2 PLAZ,6300,4,9135,93206000-0,0.0
930,FRAZADA GRIS I COLOR 1 1/2 PLA,2500,4,3625,93206000-0,0.0
931,POLO ALGODON MA/LARGA BLANCA 6,1150,9,1667,78063020-5,0.0
932,POLO ALGODON MA/LARGA BLANCA 8,1290,9,1870,78063020-5,0.0
933,POLO ALGODON M/LARGA BLANCA 10,1290,9,1870,78063020-5,0.0
934,POLO ALGODON M/LARGA BLANCA 12,1290,9,1870,78063020-5,0.0
935,POLO ALGODON M/LARGA BLANCA 14,1450,9,2102,78063020-5,0.0
936,CAMISA COLEG BL 37/42,3090,5,4990,76333900-9,6.0
937,RED DE BASKETBOLL 70 H GRUESAS,1400,5,2072,3706773-3,0.0
938,RED DE FUTBOLL TORNEO 70 H GRU,15000,5,28000,3706773-3,0.0
939,RED DE FUTBOLL SIM 50H MEDIANA,7800,5,23400,3706773-3,0.0
940,RED DE FUTBOLL COMPETENCIA 60H,8800,5,25200,3706773-3,0.0
941,RED DE FUTBOLL 70H MOD MEDIANA,9800,5,29400,3706773-3,0.0
942,RED DE FUTOBLL MODELO 50H GRUE,13000,5,35000,3706773-3,0.0
943,RED DE FUTBOLL TORNEO 60H GRUE,15000,5,37500,3706773-3,0.0
944,RED DE FUTBOLL MODELO 50H SUPE,18000,5,45000,3706773-3,0.0
945,RED DE FUTBOLL ALEMAN 60H SUPE,22000,5,47500,3706773-3,0.0
946,RED DE FUTBOLL TORNEO 70H SUPE,20000,5,50000,3706773-3,0.0
947,RED DE BABY FUTBOLL 50H MEDIAN,4800,5,8800,3706773-3,0.0
949,RED DE BABY FUTBOLL COMPET 60H,5400,5,10900,3706773-3,0.0
948,RED DE BABY FUTBOLL TORNEO 70H,8000,5,15500,3706773-3,0.0
950,RED DE BABY FUTBOLL MODELO 50H,6000,5,10200,3706773-3,0.0
951,RED DE BABY FUTBOLL TORNEO 60H,6500,5,10900,3706773-3,0.0
952,RED DE BABY FUTBOLL 70H GRUESA,7000,5,13500,3706773-3,0.0
953,RED DE VOLLEYBOLL 50 H MEDIANA,4300,5,9900,3706773-3,0.0
954,RED DE VOLLEYBOLL TORNEO 60H G,4600,5,10800,3706773-3,0.0
955,RED DE TENNIS DOBLE PANO 50H S,18000,5,45000,3706773-3,0.0
956,RED DE FUBOLITO MODELO 50H MED,6500,5,19500,3706773-3,0.0
957,RED DE FUTBOLITO TORNEO 60H GR,7000,5,21000,3706773-3,0.0
958,RED DE FUTBOLITO 70H GRUESA MO,8000,5,22500,3706773-3,0.0
959,RED DE HANDBOLL MODELO 50H MED,6500,5,19500,3706773-3,0.0
960,RED DE HANDBOLL TORNEO 60H MED,7000,5,21000,3706773-3,0.0
961,RED DE HANDBOLL 70H GRUESAS MO,7500,5,22500,3706773-3,0.0
962,RED JUEGO CESTOS BASKE CTE 70H,800,5,2000,3706773-3,0.0
963,RED JUEGO CESTO BASKET 70H GRU,1300,5,2200,3706773-3,0.0
964,CO20102 B BASKET HARD R-7 GOMA,2710,5,3929,96311000-6,0.0
965,CO20105 B BASKET HARD R-5 GOMA,2550,5,3697,96311000-6,0.0
966,CO71001 FAJA SLIMMER BELT NYLO,1890,5,2797,96311000-6,0.0
967,TOALLAS DISNEY 70*140,3591,3,6990,89524100-8,4.0
968,TOALLA PLAYA CAPUCHA MINNI,2990,3,4990,89524100-8,0.0
969,ART 815 CAM FRANELA ES T.E. 50,4790,3,6945,80902800-3,0.0
970,ART 815 CAM FRANELA ES T.E. 52,4790,3,6945,80902800-3,0.0
971,ART 815 CAM FRANELA ES T.E. 54,4790,3,6945,80902800-3,0.0
972,TRIPACK TRICOLOR P/TALON 10/12,1320,5,1953,78247220-8,0.0
973,CANILLERA PROF MAGNUMS/L,2664,5,3943,78113210-1,0.0
974,CANILLERA C/TOBILLERA PROFEC M,2151,5,3465,78113210-1,0.0
975,CANILLERA C/TOBILLERA PROFEC L,1990,5,2990,78113210-1,0.0
976,CANILLERA C/TOBILLERA PROFE XL,2390,5,3465,78113210-1,0.0
977,MUSLERA S/XL,690,5,1021,78113210-1,0.0
978,84098888 BAL OFI USA 94 ADIDAS,17140,5,25288,95271000-1,0.0
979,ART 440 ROD TB VOLEYBOL EXEL S,1730,5,2508,96587880-7,0.0
980,ART 440 ROD TB VOLEYBOL EXEL M,1730,5,2508,96587880-7,0.0
981,ART 440 ROD TB VOLEYBOL EXEL L,1830,5,2653,96587880-7,0.0
982,ART 440 RO TB VOLEYBOL EXEL XL,1830,5,2653,96587880-7,0.0
983,ART 520 SLIP GRUESO ELA EXEL S,2390,5,3537,96587880-7,0.0
984,ART 520 SLIP GRUESO ELA EXEL M,1970,5,3537,96587880-7,0.0
985,ART 520 SLIP GRUESO ELA EXEL L,2390,5,3537,96587880-7,0.0
986,ART 520 SLIP GRUESO EL EXEL XL,2390,5,3537,96587880-7,0.0
987,ART 700 TOBILLERA TUBU EXELL S,1520,5,2204,96587880-7,0.0
988,ART 700 TOBILLERA TUBU EXELL M,1520,5,2204,96587880-7,0.0
989,ART 700 TOBILLERA TUBU EXELL L,1620,5,2349,96587880-7,0.0
990,ART 700 TOBILLERA TUB EXELL XL,1620,5,2349,96587880-7,0.0
991,PIJAMA S/M CORTO ALG S/XL,2083,9,3690,76451600-1,0.0
992,PIJAMA DAMA ALG/M/M CORTO C/ S,4400,9,7990,76451600-1,0.0
993,CANILLERA BREMEN M,2346,1,3990,77462640-9,0.0
994,COTONA BLCA ADULT IMP,5346,1,8990,81756100-4,5.0
995,DELANTAL BLCO DAMA IMP,3690,1,6490,81756100-4,2.0
996,PELOTA PIN PON SENS 1*NAR,711,5,1290,77462640-9,9.0
997,SABANA 1 PL 144 H EST,6670,4,11990,79536070-0,0.0
998,ULA ULA MEDIANO PLAST,1200,5,1990,77139990-8,6.0
999,BALON HANDBOLL 2 GOMA,3541,1,5990,77462640-9,1.0
1000,"CONO TRAINIG 6"" NAR",250,1,440,77462640-9,0.0
1001,BATA ACOLCHADA RASO DAMA S/XL,4250,1,7490,3441908-6,0.0
1002,BANDERA CHILENA PUNGE 1*1.5,1611,9,2990,89524100-8,0.0
1003,COCHONETA YOGA TORPEDO 4MM,3990,9,6990,76064490-0,0.0
1004,FUNDA COJIN SHANTU 50*40,1130,9,1250,79536070-0,2.0
1005,PANTY COLEGIO STRECH T/U PL/AM,541,9,990,78835460-6,8.0
1006,CALZA COLEGIO ALGD GRIS AZUL,875,9,1490,78835460-6,0.0
1007,PIJAMA FRANELA C/B LISO HOM S/,3990,9,6990,78835460-6,4.0
1008,BALON VOLEY S.TOUCH 7.0 ITALY,4941,9,8690,77462640-9,0.0
1009,POLERA 2DA PIEL LEGEA HOM S/XL,5000,9,11990,76064490-0,1.0
1010,BASTON TRECKING SHERPA LED,5460,9,9490,84915900-3,1.0
1011,BASTON TRECKING TACORA M/GOMA,4980,9,8990,84915900-3,0.0
1012,PIJAMA TREV LARGO 1 COLOR HOM,4033,9,7990,76451600-1,24.0
1013,CASCO BICI INFANTIL ECO17,7990,9,13990,76064490-0,5.0
1014,COMBO AGATHA + BARRAS,12200,9,21350,79536070-0,0.0
1015,CAMISETA COLO COLO 4/16,7900,9,13900,10150306-2,0.0
1016,CAMISETA COLO COLO ADUL S/XL,7500,9,13990,10150306-2,5.0
1017,TRICOTA CICLISTA TORPEDO INF S,9891,9,17490,76064490-0,0.0
1018,CALZA CICLISTA HOMBRE TORP S/X,12490,9,21990,76064490-0,0.0
1019,POLO PIQUET NINO C/RED S/XL,990,2,1465,3441908-6,0.0
1020,SET BAÑO 19 PZ CERAMICA,8150,3,13990,79536070-0,0.0
1021,PANUELO BLCO,250,2,490,93049000-8,68.0
1022,SET TANGA NINO 3 S/XL,690,2,1990,3441908-6,27.0
1023,BALON BABY FUT MOLTEN,0,13,19990,79587250-7,0.0
1024,CORRECTOR POSTURAL SIMPLE,5280,13,9990,77749210-1,5.0
1025,TRICOTA CICLISTA ADULT,5500,13,9990,76064490-0,0.0
1026,JGO CORTINAS PRESTON 2PANO,7560,13,12990,79536070-0,23.0
1027,CINTURON OKAMI 3.1 MT COLOR,2390,13,3990,76064490-0,0.0
1028,5168 SOQ MUJER S/ELAS 9/10 C/U,740,13,1290,76442659-2,12.0
1029,DEPORT TOBILLERA ALG 10/12 C/U,400,13,790,76442659-2,0.0
1030,SOQUETE VARON 61667U C/U,800,13,1490,76442659-2,30.0
1031,SOQUETE S/ELAS 6740 C/U,630,13,1190,76442659-2,0.0
1032,SOQUET JASPEA MUJER C/U 5172,740,13,1290,76442659-2,57.0
1033,SOQUET TENIS BLCO 7162 C/U,530,13,990,76442659-2,4.0
1034,SOQUET BAMBU PLATA C/U 6705,1490,13,2690,76442659-2,0.0
1035,MANTEL REDONDO,2480,13,3990,93049000-8,0.0
1036,MANTEL RECTANGULAR,2890,13,3990,93049000-8,0.0
1037,CUBRECAMA ESTAM 2PL,10457,13,18990,93049000-8,0.0
1038,SET BAÑO TAPAS,6100,13,10990,89524100-8,1.0
1039,SACO BOX 50CM,12000,13,19990,11644070-9,0.0
1040,PESA TOBILLO PAR 2K,9990,13,17990,77139990-8,1.0
1041,PESA TOBILLO 2.5 K PAR,11990,13,20990,77139990-8,3.0
1042,MUÑEQUERA INMOV PULGAR,4680,13,7990,77749210-1,7.0
1043,HOMBRERA NEOP,7080,13,12990,77749210-1,3.0
1044,INMOV DEDO PULGAR,5160,13,8990,77749210-1,4.0
1045,SOQ SICODELICO,990,13,1990,76442659-2,43.0
1046,SOQ TOBILLERA LARGO,596,13,1190,76442659-2,18.0
1047,4506 JERSEY LANA BOTON REB LIN,4636,3,6722,78028420-K,0.0
1048,4304 JERSEY LANA BOTON REB LIN,4636,3,6722,78028420-K,0.0
1049,4300 JERSEY LANA BOTON REB MIT,4636,3,6722,78028420-K,0.0
1050,4441 JERSEY LANA BOTON VISCOCH,4636,3,6722,78028420-K,0.0
1051,760 PIJAMA FRANELA H.LIDTADO,4480,9,6630,83569800-9,0.0
1052,1865 CAM.HM.L.LENADO VIP S/XL,4880,3,7222,83569800-9,0.0
1053,PIJAMA FRANELA LISTADO H.P/L L,2980,9,4321,83569800-9,0.0
1054,PIJAMA FRANELA LISTAD H.P/L XL,2980,9,4321,83569800-9,0.0
1055,PIJAMA FRANELA LISTA H.P/L XXL,2980,9,4321,83569800-9,0.0
1056,PT000001 PELOTA DE TENNIS PENN,3055,5,4990,77462640-9,0.0
1057,BA100000 BALON KIDS FUTBOL J.,1960,5,2900,77462640-9,0.0
1058,CORRECTOR POSTURAL ESPL CINTU,6960,5,11990,77749210-1,17.0
1059,MU╛EQUERA SUFIX REGULAR PAR,1150,5,1990,77462640-9,2.0
1060,BA101401 B BASKET DRIBLING G 7,3368,5,5990,77462640-9,0.0
1061,BA101402 B BASKET DRIBILNG 5 G,3144,5,5490,77462640-9,0.0
1062,RODILLERA VOLLEY CLASIC S/L,2556,5,4490,77462640-9,0.0
1063,"BALON RITMICA 6"" LISA 300GRS",2341,5,3990,77462640-9,0.0
1064,MUSLERA NEOPREN L DRIB,2516,5,4400,77462640-9,0.0
1065,CAMISETA FRAN M/L C/B 52/54,4690,9,6990,79531220-K,0.0
1066,SOQ VARON BAMBU 10/12,650,12,1190,76333900-9,2.0
1067,CALZON.TERMICO LAR 44/50,3990,9,6990,79531220-K,2.0
1068,CAOLZON TERMICO LAR 52/54,4200,9,6480,79531220-K,0.0
1069,CAMISETA FRANELA BOT 46/50,4470,9,6990,79531220-K,0.0
1070,1060 JUEGO DE SABANAS 1PL,2592,4,3836,80943400-1,0.0
1071,1061 JUEGO DE SABANAS 11/2PL,2763,4,4089,80943400-1,0.0
1072,1062JUEGO DE SABANAS 2PL,3766,4,5573,80943400-1,0.0
1079,CANILL PLASTICA C/TOBILL ADULT,1100,5,1595,5860141-1,0.0
1080,212 CLASSIC I COLOR DI ALG DEL,209,10,303,96680870-5,0.0
1081,030 VAQUERO STONE AZUL TRAD 36,3680,3,5336,96597120-3,0.0
1082,030 VAQUERO STONE AZUL TRAD 38,3680,3,5336,96597120-3,0.0
1083,030 VAQUERO STONE AZUL TRAD 40,4060,3,6008,96597120-3,0.0
1084,030 VAQUERO STONE AZUL TRAD 42,3680,3,5336,96597120-3,0.0
1086,030 VAQUERO STONE AZUL TRAD 46,3870,3,5727,96597120-3,0.0
1087,030 VAQUERO STONE AZUL TRAD 48,3870,3,5727,96597120-3,0.0
1088,030 VAQUERO STONE AZUL TRAD 50,3870,3,5727,96597120-3,0.0
1089,030 VAQUERO STONE AZUL TRAD 52,3680,3,5336,96597120-3,0.0
1090,030 VAQUERO STONE AZUL TRAD 54,3680,3,5336,96597120-3,0.0
1091,030 VAQUERO STONE AZUL TRAD 56,3680,3,5336,96597120-3,0.0
1092,PANTALON COLE.T6,3499,1,5179,80019100-9,0.0
1093,FAJA HUASO ADULTO,4129,5,6990,80019100-9,0.0
1094,CHASQUILLA HUASO NI╛O,1699,3,2515,80019100-9,0.0
1095,CHASQUILLA HUASO ADULTO,2119,3,3690,80019100-9,0.0
1096,40115 JEANS CLASI STONE AZU 36,4590,3,6655,78217490-8,0.0
1097,40115 JEANS CLASI STONE AZU 38,4590,3,6655,78217490-8,0.0
1098,40115 JEANS CLASI STONE AZU 40,4590,3,6655,78217490-8,0.0
1099,40115 JEANS CLASI STONE AZU 42,4590,3,6655,78217490-8,0.0
1100,40115 JEANS CLASI STONE AZU 44,4590,3,6655,78217490-8,0.0
1101,40115 JEANS CLASI STONE AZU 46,4590,3,6655,78217490-8,0.0
1102,40115 JEANS CLASI STONE AZU 48,4590,3,6655,78217490-8,0.0
1103,40115 JEANS CLASI STONE AZU 50,4590,3,6792,78217490-8,0.0
1104,40111 JEANS CLASI STONE AZU 52,4790,3,7089,78217490-8,0.0
1105,40111 JEANS CLASI STONE AZU 54,4590,3,6655,78217490-8,0.0
1106,40111 JEANS CLASI STONE AZU 56,5841,3,8644,78217490-8,0.0
1107,40111 JEANS CLASI STONE AZU 58,4770,3,6916,78217490-8,0.0
1108,40111 JEANS CLASI STONE AZU 60,4770,3,6916,78217490-8,0.0
1109,FRAZADA POLAR DISNEY 120*140,2200,5,4990,89524100-8,1.0
1110,11010 FRAZADA RICHARDS I PLAZA,2990,4,4490,93049000-8,0.0
1111,11015 FRAZADA RICHARDS 11/2 PL,2890,4,4990,93049000-8,0.0
1112,11110 FRAZADA AZ MARINA 1 PLAZ,3720,4,4955,93049000-8,0.0
1113,11115 FRAZADA MARINAS 11/2 PLA,3990,4,5905,93049000-8,0.0
1114,11120 FRAZADA AZ MARINA 2 PLAZ,5090,4,7533,93049000-8,0.0
1115,11215 FRAZADA ESCOCESA 11/2 PL,2890,4,4277,93049000-8,0.0
1116,11220 FRAZADA ESCOCESA 2 PLAZA,3900,4,5990,93049000-8,0.0
1117,21510 MANTA DE VIAJE 1.4X1.9,3495,4,5990,93049000-8,0.0
1118,22010 CHALONES LANA ESCOSES DI,5700,4,8265,93049000-8,0.0
1119,TBH00150 BERMUDA COLOR S/XL,1750,3,2590,93049000-8,0.0
1120,POLAR ADULTO C/CIERRE,4050,5,5994,93049000-8,0.0
1121,004 SLIP PAGANI MODELO TANGA S,347,9,503,96680870-5,0.0
1122,004 SLIP PAGANI MODELO TANGA M,347,9,503,96680870-5,0.0
1123,004 SLIP PAGANI MODELO TANGA L,347,9,503,96680870-5,0.0
1124,004 SLIP PAGANI MODEL TANGA XL,347,9,503,96680870-5,0.0
1125,494 ZAPATILLA DEPVA N/B 34/38,4990,6,7385,78189010-3,0.0
1126,POLAR ADULTO,4990,1,7385,81756100-4,0.0
1127,PITO METALICO REFOR,366,15,990,77139990-8,0.0
1128,CANILLERA NINO FUT ST,1050,15,1990,77139990-8,0.0
1129,TOBILL NEOP CVENDA PAR,1200,5,2100,77139990-8,0.0
1130,RED PIN PON,600,5,1050,77139990-8,0.0
1131,SHORT FUT ETO COLOR S/XL,1791,5,3190,76064490-0,0.0
1132,TOALLA PLAYA MIX 68*137,1332,9,2990,89524100-8,1.0
1133,CAMISOLA  POLAR M/M S/XL,2000,9,3990,3441908-6,8.0
1134,FALDON DESHILADO 144H 2PL,5760,5,8990,79536070-0,0.0
1135,40401 CAMIS M/L PUNO DAMA S/XL,2500,5,2990,79531220-K,0.0
1136,FALDON BRODERI CLAS 1.5P,5990,5,8990,79536070-0,0.0
1137,QUILT PATCHORE APLIC 1.5,7990,5,13990,79536070-0,0.0
1138,QUILT PATCHORE APLIC 2PL,10500,5,17990,79536070-0,0.0
1139,PANTY COLOR PIEL NINA,600,5,1160,76451600-1,1.0
1140,QUILT 2PL ILUSS,5990,5,10990,76676820-2,0.0
1141,CAMISA M/L TRO OXFORD S/XL,3690,5,5990,76064490-0,0.0
1142,CAMISA M/L TRO POPEL S/XL,3790,5,5990,76064490-0,0.0
1143,GORRO TRO DENIM 59 CM,790,5,1290,76064490-0,0.0
1144,GORRO TRO GABAR 59 CM,590,5,990,76064490-0,24.0
1145,GORRO TRO LEGIONARIO 59CM,1090,5,1790,76064490-0,18.0
1146,GORRO TRO PESCADOR,1590,15,2690,76064490-0,20.0
1147,CAM U.ESPANOLA ADULT,9990,5,16990,10150306-2,0.0
1148,POLO  NATACION M/L BEACH,4131,5,7990,76064490-0,8.0
1149,RED FUTBOLITO POLIPRO,29500,5,39900,77139990-8,0.0
1150,CAMISETA FUT ARSENAL 2/16,7990,3,13990,10150306-2,0.0
1151,CANILLERA UHLSPORT S/M,850,3,2490,76064490-0,0.0
1152,0942 PLUMON REVERSIBLE 1 PLAZA,4998,4,7397,80943400-1,0.0
1153,0943 PLUMON REVERSIBLE 1 1/2 P,5900,4,8732,80943400-1,0.0
1154,PLUMON REVERSIBLE 2PL,6100,4,9028,80943400-1,0.0
1155,JGO TOALLA 2P H.FACTORY,2200,3,2990,78526430-4,0.0
1156,TOALLA PLAYA 70*140 H.FACTORY,2995,3,4790,78526430-4,0.0
1157,GUANTE BLANCO NINO,520,15,769,89312900-6,0.0
1158,POLERON POLAR H.MITAD CIERRE,2980,3,4410,78165090-0,0.0
1159,320912A GUANTE STRECH LISO BCO,590,15,855,89312900-6,0.0
1160,ZAPATILLA CONIC VELCRO 26/33,4490,5,6645,76017860-8,0.0
1161,GUANTE BLANCO JUV BOTON,0,15,0,89312900-6,0.0
1162,320922A GTE STRECH ADU C/BOTON,690,15,1000,89312900-6,0.0
1163,GUANTE BLANCO DAMA,0,15,0,89312900-6,0.0
1164,GUANTE BLANCO DAMAM BOTON,0,15,0,89312900-6,0.0
1165,323322A GTE.STRECH BORDAD BLCO,900,15,1332,89312900-6,0.0
1166,GUANTE BLANCO STRECH,0,15,0,89312900-6,0.0
1167,GORRA NADO LYCRA TORP COL,846,5,1590,76064490-0,1.0
1168,CAMISETA CALADA ALG 46/52,2900,9,4990,79531220-K,19.0
1169,ALPARGATAS IBERIA NEG 34/44,1900,16,2500,6246616-2,3.0
1170,MALLA FUT ETO 3.3X7 MTS,16990,9,28990,76064490-0,0.0
1171,COMBO CORT ROMANT 11PZAS,10170,14,15990,79536070-0,0.0
1172,ALFOM TAPA WC TAPA ESTAN,4340,14,7490,79536070-0,1.0
1173,JUG.SABANA MICRO 2PL 1COL,3290,4,6990,89524100-8,0.0
1174,JUG.SABANA MICRO 11/2 1COL,2760,4,5590,89524100-8,0.0
1175,PLUMON MICRO 2 PL,8010,4,13900,89524100-8,1.0
1176,COTONA BLCA 38/54,6569,9,9990,80019100-9,0.0
1177,BATA TOALLA HOMBRE S/XL,9500,9,16990,85910900-4,0.0
1178,CALCETA ANTIDES JR,1790,9,2990,77139990-8,14.0
1179,CANILLERA FUT C/ MED COMPRES,4400,9,7990,77139990-8,4.0
1180,PLUMON LADY B UD SINGLE,8700,9,20990,89524100-8,0.0
1181,SABANA LADY BUG SINGLE,6180,9,10990,89524100-8,0.0
1182,TOALLA U CHILE PLAYA,3528,9,6990,89524100-8,12.0
1183,PLUMON SINGLE U DE CHILE,13275,9,22990,89524100-8,0.0
1184,40617 AMER ETIQU ROJA VARON 40,5790,3,8570,78217490-8,0.0
1185,40617 AMER ETIQU ROJA VARON 42,5790,3,8570,78217490-8,0.0
1186,40617 AMER ETIQU ROJA VARON 44,5790,3,8570,78217490-8,0.0
1187,40617 AMER ETIQU ROJA VARON 46,5790,3,8570,78217490-8,0.0
1188,40617 AMER ETIQU ROJA VARON 48,5790,3,8570,78217490-8,0.0
1189,40617 AMER ETIQU ROJA VARON 50,5790,3,8570,78217490-8,0.0
1190,40617 AMER ETIQU ROJA VARON 52,5790,3,8570,78217490-8,0.0
1191,40617 AMER ETIQU ROJA VARON 54,5790,3,8570,78217490-8,0.0
1192,40617 AMER ETIQU ROJA VARON 56,5790,3,8570,78217490-8,0.0
